task,plant,model,seed,delay_s,tau_s,scale,maximum_position_m,maximum_goal_overshoot_m,final_position_m,final_goal_error_m,goal_reached,goal_reached_time_s,settling_time_s,minimum_wall_clearance_m,safety_margin_m,collision,safety_violation,peak_actual_speed_mps,mean_abs_raw_to_smoothed_mps,mean_abs_smoothed_to_actual_mps,mean_abs_first_cycle_prediction_error_m,p95_abs_first_cycle_prediction_error_m,raw_command_total_variation_mps,mean_compute_ms,p95_compute_ms,mean_rank_spearman,mean_top_1pct_overlap
goal_stop,smoother_only,ideal,0,0.0,0.0,1.0,0.6954176683694938,0.0,0.6954176683694938,0.3045823316305062,1,2.35,nan,nan,nan,0,0,0.30707685354889086,0.030648257405536776,0.0,0.0015324128702768386,0.009830283256815623,0.9696750661681565,4.386780595984632,4.6607264994236175,0.6668651371426735,0.2936170212765958
goal_stop,smoother_only,ideal,1,0.0,0.0,1.0,0.6952448745827602,0.0,0.6952448745827602,0.3047551254172398,1,2.35,nan,nan,nan,0,0,0.308230992018957,0.030684999822108608,0.0,0.0015342499911054307,0.009914690280821873,1.0516099112078225,5.363410851095204,7.091306400616302,0.6680942174933273,0.3095744680851064
goal_stop,smoother_only,ideal,2,0.0,0.0,1.0,0.6986296910426382,0.0,0.6986296910426382,0.30137030895736183,1,2.35,nan,nan,nan,0,0,0.3058668940717143,0.03141880681701399,0.0,0.0015709403408507004,0.010318612152664119,1.0147574785633604,4.71117938309846,7.2095720002835035,0.6665454269546661,0.300531914893617
goal_stop,smoother_only,ideal,3,0.0,0.0,1.0,0.6983241584566643,0.0,0.6983241584566643,0.3016758415433357,1,2.35,nan,nan,nan,0,0,0.3061102647823401,0.031351840177993445,0.0,0.001567592008899673,0.010216538696046832,1.0128367510471694,4.449568340320145,4.792996600372135,0.6661396607240906,0.2981382978723404
goal_stop,smoother_only,ideal,4,0.0,0.0,1.0,0.6949487551886623,0.0,0.6949487551886623,0.3050512448113377,1,2.35,nan,nan,nan,0,0,0.3046404290584947,0.030602746340251417,0.0,0.0015301373170125711,0.00986766401246936,0.9968363747341893,4.44877104305209,4.658914199171704,0.6655842502819016,0.30664893617021277
goal_stop,smoother_only,ideal,5,0.0,0.0,1.0,0.6890825124685103,0.0,0.6890825124685103,0.31091748753148973,1,2.35,nan,nan,nan,0,0,0.3047482483104872,0.030729698602670052,0.0,0.0015364849301335026,0.009875715851388748,1.0179864996080792,4.503754999608104,4.83671389738447,0.6648210109353683,0.30398936170212765
goal_stop,smoother_only,ideal,6,0.0,0.0,1.0,0.690880668667419,0.0,0.690880668667419,0.30911933133258096,1,2.35,nan,nan,nan,0,0,0.30609554988260457,0.03042173895367413,0.0,0.0015210869476837065,0.009385737036203105,0.9951310355597043,4.685532319467227,4.928830900098546,0.6655919805529665,0.30664893617021277
goal_stop,smoother_only,ideal,7,0.0,0.0,1.0,0.6950752064425184,0.0,0.6950752064425184,0.3049247935574816,1,2.35,nan,nan,nan,0,0,0.30740704028650395,0.03080567404028931,0.0,0.0015402837020144658,0.010097877733733007,1.0006378458217424,4.625493042345005,4.764084600174101,0.6673918438177915,0.30744680851063827
goal_stop,smoother_only,ideal,8,0.0,0.0,1.0,0.6925284296821822,0.0,0.6925284296821822,0.3074715703178178,1,2.35,nan,nan,nan,0,0,0.3035330727739082,0.03067174238516966,0.0,0.0015335871192584819,0.009980843757311623,1.0711030150754968,4.652999936181314,4.818552000870113,0.6671275464316806,0.30079787234042554
goal_stop,smoother_only,ideal,9,0.0,0.0,1.0,0.696999285022747,0.0,0.696999285022747,0.303000714977253,1,2.35,nan,nan,nan,0,0,0.3060801581533376,0.030665994613297345,0.0,0.0015332997306648681,0.010050099205979827,1.0224272818761553,4.732471446914133,4.977878001227509,0.6680442216288494,0.3079787234042553
goal_stop,smoother_only,ideal,10,0.0,0.0,1.0,0.6923497816962657,0.0,0.6923497816962657,0.3076502183037343,1,2.35,nan,nan,nan,0,0,0.304596798595708,0.030662157357422868,0.0,0.0015331078678711442,0.009961457763327752,1.0261244252090898,4.931818914786724,5.168032799701905,0.6649994701060423,0.31569148936170216
goal_stop,smoother_only,ideal,11,0.0,0.0,1.0,0.6995412595529131,0.0,0.6995412595529131,0.30045874044708687,1,2.35,nan,nan,nan,0,0,0.30623913960359983,0.031410885884461844,0.0,0.0015705442942230915,0.010436956980179945,1.0467870193991076,4.982474148957718,5.299500599721795,0.667655729119787,0.3063829787234042
goal_stop,smoother_only,ideal,12,0.0,0.0,1.0,0.6914553496449459,0.0,0.6914553496449459,0.3085446503550541,1,2.35,nan,nan,nan,0,0,0.30511876262438364,0.030683363828176505,0.0,0.001534168191408825,0.0098518888490003,1.0395675258532262,5.058847255605406,5.390195100335404,0.6653047931615111,0.2946808510638298
goal_stop,smoother_only,ideal,13,0.0,0.0,1.0,0.6951676460038464,0.0,0.6951676460038464,0.3048323539961536,1,2.35,nan,nan,nan,0,0,0.30295455557003065,0.031233204685437346,0.0,0.001561660234271868,0.0101718346455963,1.0103580786470046,4.90593712798882,5.100666600992554,0.6674064963331469,0.3095744680851064
goal_stop,smoother_only,ideal,14,0.0,0.0,1.0,0.6953385128821953,0.0,0.6953385128821953,0.3046614871178047,1,2.35,nan,nan,nan,0,0,0.30809591745551157,0.03047833394651956,0.0,0.0015239166973259782,0.009649141950036359,1.045197828427229,4.544465553292267,4.718815600790549,0.6659954694284533,0.3146276595744681
goal_stop,smoother_only,ideal,15,0.0,0.0,1.0,0.6948088994722731,0.0,0.6948088994722731,0.3051911005277269,1,2.35,nan,nan,nan,0,0,0.30283931579536033,0.030668655307497843,0.0,0.0015334327653748917,0.010020838804919278,0.9914471227794552,4.564636851121557,4.691038501550793,0.6663051952562647,0.29760638297872344
goal_stop,smoother_only,ideal,16,0.0,0.0,1.0,0.6930294444066198,0.0,0.6930294444066198,0.30697055559338016,1,2.35,nan,nan,nan,0,0,0.30509625919216193,0.030502103844744555,0.0,0.001525105192237228,0.00962699893021152,0.959229399853212,4.5797987872805255,4.715491099341307,0.6663950885841321,0.30744680851063827
goal_stop,smoother_only,ideal,17,0.0,0.0,1.0,0.694657241252443,0.0,0.694657241252443,0.305342758747557,1,2.35,nan,nan,nan,0,0,0.30586017827312884,0.030633063113333255,0.0,0.001531653155666663,0.009759647730943902,1.0124452348524924,4.7600395323280145,4.953914599173004,0.6643047603410319,0.31063829787234043
goal_stop,smoother_only,ideal,18,0.0,0.0,1.0,0.696541666977791,0.0,0.696541666977791,0.30345833302220904,1,2.35,nan,nan,nan,0,0,0.3071014211347761,0.03118451949502956,0.0,0.0015592259747514775,0.010142397277842111,1.029692835907516,4.82661938308701,5.027987400899292,0.665101746558937,0.30611702127659574
goal_stop,smoother_only,ideal,19,0.0,0.0,1.0,0.6919068266880859,0.0,0.6919068266880859,0.3080931733119141,1,2.35,nan,nan,nan,0,0,0.302526643839864,0.030345152623612457,0.0,0.0015172576311806235,0.009405551586235187,0.9570679527483981,4.743684297786689,4.9457164997875225,0.6672057745740265,0.30372340425531913
goal_stop,smoother_only,smoother,0,0.0,0.0,1.0,0.6811387109728797,0.0,0.6811387109728797,0.3188612890271203,1,2.5,nan,nan,nan,0,0,0.3,0.02817041466950531,0.0,0.0,0.0,0.9119751924250659,3.3116275997599587,3.423476249554369,nan,nan
goal_stop,smoother_only,smoother,1,0.0,0.0,1.0,0.6924914572773483,0.0,0.6924914572773483,0.3075085427226517,1,2.5500000000000003,nan,nan,nan,0,0,0.3,0.02809369624516225,0.0,0.0,0.0,0.9545877843758254,3.5169450395686925,3.6550730001181364,nan,nan
goal_stop,smoother_only,smoother,2,0.0,0.0,1.0,0.6803432121343134,0.0,0.6803432121343134,0.31965678786568663,1,2.5,nan,nan,nan,0,0,0.3,0.028246954374105522,0.0,0.0,0.0,0.9753556249352203,3.5145393396669533,3.655899350087566,nan,nan
goal_stop,smoother_only,smoother,3,0.0,0.0,1.0,0.6799119690860084,0.0,0.6799119690860084,0.32008803091399163,1,2.5,nan,nan,nan,0,0,0.3,0.028189753383481307,0.0,0.0,0.0,0.9552098193106247,3.529687160043977,3.651009298664576,nan,nan
