task,plant,model,runs,goal_reached_rate,collision_rate,safety_violation_rate,maximum_goal_overshoot_m_mean,maximum_goal_overshoot_m_ci95,final_goal_error_m_mean,final_goal_error_m_ci95,settling_time_s_mean,settling_time_s_ci95,goal_reached_time_s_mean,goal_reached_time_s_ci95,minimum_wall_clearance_m_mean,minimum_wall_clearance_m_ci95,safety_margin_m_mean,safety_margin_m_ci95,mean_abs_first_cycle_prediction_error_m_mean,mean_abs_first_cycle_prediction_error_m_ci95,p95_abs_first_cycle_prediction_error_m_mean,p95_abs_first_cycle_prediction_error_m_ci95,mean_rank_spearman_mean,mean_rank_spearman_ci95,mean_top_1pct_overlap_mean,mean_top_1pct_overlap_ci95,mean_compute_ms_mean,mean_compute_ms_ci95
goal_stop,mild,ideal,20,1.0,0.0,0.0,0.0,0.0,0.2550898647531468,0.0010096706267169013,nan,nan,2.8000000000000003,0.0,nan,nan,nan,nan,0.003063655513459896,6.587623141752455e-06,0.013406356971983419,3.0066545483798274e-05,0.6170907058506501,0.0005136756562628266,0.23670758928571428,0.0028875130831043302,4.524535591966534,0.07434895426673523
goal_stop,mild,response,20,1.0,0.0,0.0,0.0,0.0,0.2729582153013485,0.000986304059679179,nan,nan,3.0025,0.004900000000000026,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,3.575382062505322,0.0380651877333676
goal_stop,mild,smoother,20,1.0,0.0,0.0,0.0,0.0,0.26617933082697787,0.0007143230159302882,nan,nan,3.0,0.0,nan,nan,nan,nan,0.0014511774340896,1.7560433625053995e-06,0.006180097438121153,2.8575133543802603e-05,nan,nan,nan,nan,3.305518784109154,0.007944542246405548
goal_stop,smoother_only,ideal,20,1.0,0.0,0.0,0.0,0.0,0.30540360607495126,0.001188128398940065,nan,nan,2.35,0.0,nan,nan,nan,nan,0.0015395073481106014,7.33477770968942e-06,0.009928238825086338,0.00012074667146084492,0.6663439909713323,0.0004904050001765034,0.305093085106383,0.002637277562862901,4.722914190515052,0.10470458649353177
goal_stop,smoother_only,response,20,1.0,0.0,0.0,0.0,0.0,0.31517827499821993,0.0026114229493508197,nan,nan,2.5200000000000005,0.011014249144200778,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,3.4334461448664775,0.035260756713587325
goal_stop,smoother_only,smoother,20,1.0,0.0,0.0,0.0,0.0,0.31517827499821993,0.0026114229493508197,nan,nan,2.5200000000000005,0.011014249144200778,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,3.423257621253773,0.03726892037054732
goal_stop,stress,ideal,20,1.0,0.0,0.0,0.0,0.0,0.14230801672476273,0.001287524284475852,nan,nan,2.9000000000000004,0.0,nan,nan,nan,nan,0.0042650408714091535,9.295034539755711e-06,0.014973218425642676,2.6471095208231925e-05,0.5761858317596185,0.0004649338307308957,0.2078771551724138,0.0023513962882900285,4.776733990531974,0.050302147391300754
goal_stop,stress,response,20,1.0,0.0,0.0,0.0,0.0,0.1710337708769539,0.00212368584022453,nan,nan,3.115,0.01030288666754185,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,3.653470270322912,0.04371207338098121
goal_stop,stress,smoother,20,1.0,0.0,0.0,0.0,0.0,0.16593398721230268,0.002380757950982659,nan,nan,3.0700000000000003,0.011014249144200681,nan,nan,nan,nan,0.0024981613080172255,3.2340469760164884e-06,0.009644279261842494,3.3283832821356406e-05,nan,nan,nan,nan,3.3913173032189783,0.029582979032243398
wall_stop,mild,ideal,20,1.0,0.0,0.0,0.0,0.0,0.26282918524205245,0.0017192083734839795,nan,nan,2.2425,0.0080279446147094,0.41282918524205253,0.0017192083734839827,0.3128291852420525,0.0017192083734839827,0.0028394763690171953,2.3562741922812244e-06,0.012810222167782603,2.9176329280093866e-05,0.5838935466390984,0.0018184846592460139,0.18273263888888888,0.0021492477270705947,15.831624106061403,0.3557438235748902
