delay_s,tau_s,seeds,safety_violation_rate,mean_safety_margin_m,mean_p95_first_cycle_prediction_error_m,mean_rank_spearman,mean_top_1pct_overlap
0.0,0.0,8,0.0,0.36267766111160304,0.008873906776492572,0.6409566028830582,0.2347972972972973
0.0,0.15,8,0.0,0.31865253642764413,0.012656469989612402,0.6107370727953791,0.2045703125
0.0,0.3,8,0.0,0.2746912636487847,0.014085616946865468,0.5971566012284871,0.20105377906976743
0.0,0.45,8,0.0,0.23027859434291198,0.014256259158706687,0.5914740753105028,0.2007133152173913
0.05,0.0,8,0.0,0.3487122181621176,0.011195766426580385,0.6170779886862259,0.2052220394736842
0.05,0.15,8,0.0,0.30391950954707303,0.01414844665716401,0.5882587530795719,0.18140243902439024
0.05,0.3,8,0.0,0.2593754256480931,0.014455961974954452,0.5771955455055413,0.1819602272727273
0.05,0.45,8,0.0,0.21530520929247232,0.014524589014820136,0.5727784733649729,0.18138297872340425
0.1,0.0,8,0.0,0.33339510651742066,0.01366759378935061,0.5879311300530106,0.16646634615384615
0.1,0.15,8,0.0,0.2894313255579801,0.014414828879933565,0.5598494527533677,0.15930059523809523
0.1,0.3,8,0.0,0.2447420971841309,0.014626305968394582,0.5509740972630068,0.16111111111111112
0.1,0.45,8,0.0,0.20027254715416923,0.014654491750558028,0.5479676062476019,0.16266276041666666
